#Zeit	c0/16	c0/32
0	4.770	7.550
30	4.870	7.580
60	4.960	7.600
90	5.020	7.630
120	5.070	7.660
150	5.110	7.690
180	5.160	7.720
210	5.220	7.760
240	5.260	7.800
270	5.300	7.840
300	5.340	7.930
330	5.380	7.980
360	5.420	8.000
390	5.460	8.070
420	5.490	8.100
450	5.520	8.150
480	5.550	8.210
510	5.590	8.220
540	5.620	8.280
570	5.660	8.320
600	5.690	8.360
630	5.720	8.380
660	5.750	8.410
690	5.780	8.440
720	5.810	8.470
750	5.840	8.510
780	5.870	8.580
810	5.900	8.620
840	5.920	8.630
870	5.950	8.650
900	5.980	8.690
930	6.010	8.710
960	6.040	8.730
990	6.070	8.760
1020	6.100	8.780
1050	6.130	8.810
1080	6.160	8.840
1110	6.180	8.880
1140	6.210	8.930
1170	6.230	8.960
1200	6.250	8.980
1230	6.280	9.050
1260	6.310	9.070
1290	6.330	9.100
1320	6.350	9.150
1350	6.370	9.180
1380	6.390	9.230
1410	6.420	9.260
1440	6.450	9.290
1470	6.470	9.330
1500	6.490	9.360
1530	6.510	9.400
1560	6.530	9.440
1590	6.550	9.460
1620	6.570	9.480
1650	6.590	9.500
1680	6.620	9.530
1710	6.640	9.540
1740	6.670	9.600
1770	6.700	9.630
1800	6.720	9.650
